,AP amp,AP amp adapt,AP amp CV,AP thresh,AP width,AHP,ISI adapt,ISI CV,R_i,Max number of APs,Tau,Rebound,Vm,Rheobase,Sag,UDR
20191105sample1,54.952336475253105,0.9401066575655276,-1.0866779588476074,-23.29528145492077,0.6400000000000017,-21.481255069375038,0.17342917266124666,-1.8728477467344409,124.78090260177855,73,8.830285184454713,1.1522739970221494,-64.81723527163267,240.0,1.0532032311842463,1.1538297834271378
20191105sample2,84.39716137945652,0.7155654192292592,-1.3837662755812294,-31.155860051512718,1.479999999999981,-5.219561979174613,1.2847941766290452,-1.028228609729752,259.37585778534407,18,16.132665218227988,2.0872367005168257,-57.78926788717509,21.052631578947363,1.0741977062642405,3.4888144587196313
20191105sample5,90.03607556223871,0.9419364356725896,-1.765503431370858,-36.86810284852981,0.6799999999999862,-14.59038257598877,0.36171485380881996,-1.6497253194319845,190.95044934997952,42,19.852681835383468,6.4017221990876365,-55.1644754499197,42.22222222222223,1.4666002489122627,1.4473369014374922
20191105sample3,81.17588981986044,0.9120725321668494,-2.0279622189637547,-36.54143959283829,1.3199999999999878,-11.874314397573473,0.24153871884250974,-1.350305197756175,334.93140414853895,18,18.63314331876953,9.867802724451678,-56.123562110215424,27.27272727272728,1.1975632061945618,2.2848806031382924
20190122sample10,55.61588332056999,0.8879170588332282,-1.108712621149032,-31.05458989739418,0.6000000000000172,-19.55409720540047,0.11154137473290612,-1.9564431846954435,139.3623145495851,75,7.8001032644205734,0.5533059671533209,-66.33325027972461,160.0,1.0204826780766834,1.1931267185022858
20190122sample1,62.91602924466133,0.9461393048751208,-1.384736234395739,-29.867913573980328,0.5200000000000066,-21.0527777671814,0.14039186365583053,-2.1572535199495997,121.43589787185188,102,8.084137576791727,0.911311145172924,-58.42200369015336,195.81395348837208,1.0560743077640815,1.034347356833165
20190122sample16,69.23428736627102,0.9170463628551974,-1.192118437062106,-38.579709827899926,0.68,-20.51127701997757,0.06488762220587689,-2.1985112521785166,187.2033179973563,56,12.263729067235376,1.8357889233215159,-68.26577682048082,140.0,1.0832408601394108,1.3458828579237818
20190122sample9,59.0684786438942,0.8989724030991849,-1.8009896823390095,-29.65281717479229,0.5199999999999927,-21.39927260577679,0.1224407059303636,-2.5987565829986563,144.0235239764055,75,9.195785856594489,0.6073958412285805,-56.34951646327973,200.0,1.0571484352124023,1.08286739771046
20190122sample14,62.69560009241104,0.940302735240336,-1.0748721796420881,-36.40566393733025,0.6399999999999739,-23.28076586127281,0.07648170398174667,-1.758573294135689,156.1911644687256,48,11.943976010574186,1.2419292550996062,-67.0399578616023,120.0,1.0566002111152788,1.3227869775256298
20190122sample5,65.73900207877159,0.9200803964441622,-1.644400525425639,-31.76010400056839,0.5200000000000066,-23.991398513317108,0.04299018493136933,-2.6257371048980835,137.3624359170596,94,8.61421514265044,0.9184054425841309,-63.227398151159285,203.7770897832817,1.0672221667637638,1.0570082580790272
20190122sample13,78.53172719478606,0.9145576934766684,-1.148981845848118,-48.88014867901802,0.6799999999999862,-17.807725816965107,0.08961215868968855,-1.5528637185141545,364.0492531955242,64,14.795878390842303,8.770327608889504,-73.44219692498446,45.41666666666668,1.2000468931691246,1.1348809874731258
